bandit,instance,reward,timeout,seed,-a,Result,bestObj,solOverTime,integralPrimalGap
ppo,examples/pdptw/pdptw_100/lrc207.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc207 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739700062133470,======,14008513505.0,[],900.0
ppo,examples/pdptw/pdptw_100/lrc106.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc106 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739629268808242,======,16787990.0,[(t:5.582-step:161-v:1907.467)-(t:5.605-step:162-v:1905.636)-(t:11.011-step:303-v:1880.393)-(t:12.595-step:355-v:1830.832)-(t:12.693-step:356-v:1826.042)-(t:36.964-step:921-v:1811.759)-(t:36.991-step:922-v:1807.835)-(t:37.330-step:933-v:1787.99)],188.035
ppo,examples/pdptw/pdptw_100/lrc208.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc208 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739710339260755,======,7540991.0,[(t:42.726-step:1847-v:2540.991)],612.298
ppo,examples/pdptw/pdptw_100/lrc107.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc107 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739638331995391,======,15613509.0,[(t:6.489-step:170-v:1854.227)-(t:6.673-step:178-v:1787.435)-(t:28.060-step:655-v:1752.303)-(t:28.093-step:656-v:1751.502)-(t:60.165-step:1283-v:1710.275)-(t:60.316-step:1288-v:1632.929)-(t:60.858-step:1299-v:1619.988)-(t:61.250-step:1307-v:1619.112)-(t:61.263-step:1308-v:1613.509)],222.333
ppo,examples/pdptw/pdptw_100/lrc108.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc108 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739638622365532,======,14678615.0,[(t:8.033-step:194-v:2144.315)-(t:8.840-step:208-v:2003.653)-(t:8.862-step:209-v:2001.112)-(t:8.899-step:210-v:1967.82)-(t:8.917-step:211-v:1964.861)-(t:9.275-step:223-v:1756.68)-(t:9.294-step:224-v:1756.563)-(t:9.305-step:225-v:1753.608)-(t:9.317-step:226-v:1753.562)-(t:9.344-step:227-v:1679.059)-(t:9.365-step:228-v:1677.175)-(t:9.390-step:229-v:1675.172)-(t:9.408-step:230-v:1673.423)-(t:9.428-step:231-v:1663.974)-(t:17.907-step:460-v:1660.178)-(t:17.923-step:461-v:1660.163)-(t:17.943-step:462-v:1653.105)-(t:17.957-step:463-v:1649.274)],279.677
ppo,examples/pdptw/pdptw_100/lrc206.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc206 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739682536718421,======,7623061.0,[(t:43.701-step:1591-v:2912.727)-(t:43.742-step:1592-v:2846.781)-(t:43.768-step:1593-v:2834.786)-(t:44.593-step:1612-v:2800.374)-(t:44.630-step:1613-v:2795.808)-(t:44.731-step:1614-v:2795.313)-(t:50.568-step:1747-v:2623.061)],521.827
ppo,examples/pdptw/pdptw_400/LC1_4_8.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC1_4_8 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739779099327735,======,324014858540.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC1_4_7.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC1_4_7 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739733984399613,======,338016111617.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC1_4_9.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC1_4_9 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739798031285549,======,322014555451.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC1_4_10.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC1_4_10 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739812209043611,======,334014786570.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC2_4_6.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC2_4_6 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739823293158862,======,294013551539.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC1_4_6.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC1_4_6 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739729603698555,======,344016827545.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC2_4_8.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC2_4_8 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739875051421223,======,312010669395.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC2_4_9.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC2_4_9 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739934944640659,======,322009796461.0,[],900.0
ppo,examples/pdptw/pdptw_100/lrc205.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc205 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739658741952816,======,8436982.0,[(t:5.659-step:186-v:2663.315)-(t:6.440-step:210-v:2591.524)-(t:6.459-step:211-v:2583.528)-(t:56.587-step:1678-v:2562.421)-(t:56.599-step:1679-v:2559.955)-(t:56.616-step:1680-v:2558.341)-(t:56.650-step:1681-v:2554.487)-(t:56.695-step:1682-v:2539.188)-(t:56.721-step:1683-v:2530.013)-(t:56.743-step:1684-v:2529.246)-(t:70.021-step:1993-v:2457.262)-(t:70.056-step:1994-v:2451.062)-(t:70.094-step:1995-v:2447.655)-(t:70.147-step:1996-v:2436.982)],423.928
ppo,examples/pdptw/pdptw_100/lrc105.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-lrc105 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739625549968734,======,18875886.0,[(t:3.972-step:103-v:2317.08)-(t:4.084-step:104-v:2315.509)-(t:4.378-step:113-v:2280.247)-(t:4.830-step:120-v:2132.761)-(t:6.311-step:157-v:2106.777)-(t:7.019-step:175-v:2056.05)-(t:7.056-step:176-v:2048.048)-(t:60.371-step:1372-v:1903.175)-(t:60.416-step:1373-v:1902.58)-(t:62.892-step:1418-v:1900.691)-(t:129.647-step:2897-v:1875.886)],122.849
ppo,examples/pdptw/pdptw_400/LC2_4_7.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC2_4_7 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739871142914203,======,298011638168.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR1_4_10.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR1_4_10 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739975683217835,======,340011056143.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR1_4_9.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR1_4_9 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739970940034268,======,338013380695.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR1_4_6.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR1_4_6 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739965745517792,======,302020263467.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR2_4_6.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR2_4_6 --communication=unix-socket -i=/tmp/pipes/unix-socket-1740008084444300,======,254016772158.0,[],900.0
ppo,examples/pdptw/pdptw_400/LC2_4_10.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LC2_4_10 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739953246194566,======,270013647354.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR1_4_7.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR1_4_7 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739967399083061,======,292017293495.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR2_4_10.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR2_4_10 --communication=unix-socket -i=/tmp/pipes/unix-socket-1740097597404749,======,306007863854.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR1_4_8.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR1_4_8 --communication=unix-socket -i=/tmp/pipes/unix-socket-1739970385169497,======,316012374016.0,[],900.0
ppo,examples/pdptw/pdptw_400/LRC1_4_8.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LRC1_4_8 --communication=unix-socket -i=/tmp/pipes/unix-socket-1740129956186064,======,334012885693.0,[],900.0
ppo,examples/pdptw/pdptw_400/LR2_4_8.txt,r3,900,9,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=9 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-pdptw_all-15m/pdptw-LR2_4_8 --communication=unix-socket -i=/tmp/pipes/unix-socket-1740052914565204,======,242012051197.0,[],900.0
