instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,45,9664.677,54664677
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,42,9114.112,51114112
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,38,9917.368,47917368
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,47,8649.296,55649296
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,71,17279.921,88279921
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,70,18589.297,88589297
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,69,19500.298,88500298
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,65,17755.721,82755721
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,74,19314.756,93314756
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,23,2985.092,25985092
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,22,3227.301,25227301
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,21,3359.148,24359148
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,19,3971.978,22971978
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,22,3143.267,25143267
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,47,8355.911,55355911
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,54,12066.852,66066852
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,8,49,9912.596,8058912596
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,37,10201.339,47201339
examples/pdptw/pdptw_400/LC1_4_5.txt,ucbNew,300,0,45,8818.785,53818785
examples/pdptw/pdptw_600/LC1_6_1.txt,ucbNew,300,12,123,32666.931,12155666931
examples/pdptw/pdptw_600/LC1_6_2.txt,ucbNew,300,224,54,19372.282,224073372282
examples/pdptw/pdptw_600/LC1_6_5.txt,ucbNew,300,10,105,26840.032,10131840032
examples/pdptw/pdptw_600/LC1_6_3.txt,ucbNew,300,276,38,13811.687,276051811687
examples/pdptw/pdptw_600/LC1_6_4.txt,ucbNew,300,312,28,10234.089,312038234089
examples/pdptw/pdptw_100/lc101.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc102.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,ucbNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,ucbNew,300,0,10,830.881,10830881
examples/pdptw/pdptw_100/lc105.txt,ucbNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,epsilonGreedyNew,300,0,21,2758.625,23758625
examples/pdptw/pdptw_200/LC1_2_2.txt,epsilonGreedyNew,300,0,22,3106.589,25106589
examples/pdptw/pdptw_200/LC1_2_3.txt,epsilonGreedyNew,300,0,20,3216.79,23216790
examples/pdptw/pdptw_200/LC1_2_4.txt,epsilonGreedyNew,300,0,19,3095.883,22095883
examples/pdptw/pdptw_200/LC1_2_5.txt,epsilonGreedyNew,300,0,21,2780.232,23780232
examples/pdptw/pdptw_400/LC1_4_1.txt,epsilonGreedyNew,300,0,45,8462.543,53462543
examples/pdptw/pdptw_400/LC1_4_2.txt,epsilonGreedyNew,300,0,45,8709.35,53709350
examples/pdptw/pdptw_400/LC1_4_3.txt,epsilonGreedyNew,300,0,43,10473.075,53473075
examples/pdptw/pdptw_400/LC1_4_4.txt,epsilonGreedyNew,300,0,38,11077.173,49077173
examples/pdptw/pdptw_400/LC1_4_5.txt,epsilonGreedyNew,300,0,48,9762.612,57762612
examples/pdptw/pdptw_600/LC1_6_1.txt,epsilonGreedyNew,300,0,71,17002.039,88002039
examples/pdptw/pdptw_600/LC1_6_2.txt,epsilonGreedyNew,300,0,74,18616.48,92616480
examples/pdptw/pdptw_600/LC1_6_3.txt,epsilonGreedyNew,300,0,70,21653.011,91653011
examples/pdptw/pdptw_600/LC1_6_5.txt,epsilonGreedyNew,300,0,71,18150.753,89150753
examples/pdptw/pdptw_100/lc101.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_600/LC1_6_4.txt,epsilonGreedyNew,300,0,64,19663.786,83663786
examples/pdptw/pdptw_100/lc102.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_100/lc103.txt,epsilonGreedyNew,300,0,10,828.089,10828089
examples/pdptw/pdptw_100/lc104.txt,epsilonGreedyNew,300,0,10,819.908,10819908
examples/pdptw/pdptw_100/lc105.txt,epsilonGreedyNew,300,0,10,828.96,10828960
examples/pdptw/pdptw_200/LC1_2_1.txt,ucbNew,300,0,23,3120.432,26120432
examples/pdptw/pdptw_200/LC1_2_2.txt,ucbNew,300,0,22,3276.832,25276832
examples/pdptw/pdptw_200/LC1_2_3.txt,ucbNew,300,0,20,3518.759,23518759
examples/pdptw/pdptw_200/LC1_2_4.txt,ucbNew,300,0,20,3409.879,23409879
examples/pdptw/pdptw_200/LC1_2_5.txt,ucbNew,300,0,21,2779.63,23779630
examples/pdptw/pdptw_400/LC1_4_1.txt,ucbNew,300,0,47,8478.382,55478382
examples/pdptw/pdptw_400/LC1_4_2.txt,ucbNew,300,0,51,10287.622,61287622
examples/pdptw/pdptw_400/LC1_4_3.txt,ucbNew,300,8,49,9902.063,8058902063
examples/pdptw/pdptw_400/LC1_4_4.txt,ucbNew,300,0,42,12097.341,54097341
