instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2758.625,23758625,15.650
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3207.365,25207365,53.784
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3360.76,23360760,32.469
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3412.99,22412990,70.754
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,21,2863.345,23863345,44.411
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,45,8649.081,53649081,57.015
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,47,9089.001,56089001,50.931
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,45,9279.167,54279167,48.728
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,47,8887.917,55887917,87.972
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,39,9188.878,48188878,117.615
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,70,19260.146,89260146,113.639
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,73,18527.416,91527416,85.398
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,70,17199.616,87199616,84.543
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,69,20204.894,89204894,156.620
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,72,17116.041,89116041,81.392
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.864
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,57.100
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.315
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.219
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,14.723
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,24,3226.154,27226154,69.363
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,25,3657.105,28657105,101.218
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,22,3796.167,25796167,133.582
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,20,3209.533,23209533,108.600
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3592.041,28592041,94.952
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,54,9635.966,63635966,246.011
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,26,65,18611.491,26083611491,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,60,11116.634,71116634,224.307
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17376.295,30072376295,300.000
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12707.204,50045707204,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,106,127,33731.361,106160731361,300.000
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,248,63,19507.194,248082507194,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,294,37,13750.368,294050750368,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,100,118,35550.114,100153550114,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,869.913,11869913,18.135
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.431
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,931.753,11931753,19.699
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10246.397,330036246397,300.000
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,866.871,10866871,17.701
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,10,828.96,10828960,18.422
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2798.462,23798462,30.908
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3369.156,25369156,60.972
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3298.329,23298329,24.108
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3121.863,22121863,48.592
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,21,2821.344,23821344,19.852
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,44,7805.974,51805974,55.290
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,45,9155.417,54155417,56.654
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,37,9355.002,46355002,118.015
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,44,10163.062,54163062,58.873
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,46,8502.141,54502141,83.293
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,68,15814.806,83814806,80.345
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,72,18019.38,90019380,87.469
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,70,19260.146,89260146,117.182
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,69,20341.445,89341445,154.551
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,74,19015.115,93015115,98.304
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.787
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.145
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,57.475
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,15.066
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.201
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,21,2887.537,23887537,53.477
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,24,3523.12,27523120,97.101
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,23,3882.933,26882933,133.045
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,21,3189.49,24189490,120.533
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3280.408,28280408,96.382
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,24,65,18140.124,24083140124,300.000
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,54,9635.966,63635966,238.748
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12639.845,50045639845,300.000
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17369.743,30072369743,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,58,10554.595,68554595,236.493
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,68,136,37235.901,68173235901,300.000
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,232,65,20577.11,232085577110,300.000
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10245.513,330036245513,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,38,128,40479.193,38168479193,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,861.966,11861966,16.547
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,320,36,12783.535,320048783535,300.000
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.008
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,10,889.469,10889469,34.585
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,11,859.085,11859085,16.614
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,11,878.136,11878136,15.732
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2798.462,23798462,20.487
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3332.122,25332122,62.520
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3595.599,23595599,31.582
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3014.235,22014235,39.780
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,44,7791.189,51791189,59.055
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,22,2967.15,24967150,32.815
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,48,9399.255,57399255,63.819
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,43,9065.606,52065606,43.030
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,37,8663.64,45663640,111.322
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,46,8552.56,54552560,81.575
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,72,17246.612,89246612,89.376
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,70,19152.844,89152844,114.676
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,70,17645.0,87645000,82.955
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,69,20341.445,89341445,156.465
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,73,18172.23,91172230,93.122
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.896
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.040
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,55.915
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,14.996
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,0.967
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,21,2787.678,23787678,33.583
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,20,2978.293,22978293,101.439
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,22,3698.295,25698295,115.183
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,25,3451.521,28451521,101.717
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,24,3324.55,27324550,91.665
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,57,10776.102,67776102,259.541
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17344.171,30072344171,300.000
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,24,65,18317.546,24083317546,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,57,10474.678,67474678,218.285
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12687.955,50045687955,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,72,135,36896.105,72171896105,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,306,36,13260.819,306049260819,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,34,128,40544.369,34168544369,300.000
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10236.475,330036236475,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,869.913,11869913,17.912
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,226,65,20744.326,226085744326,300.000
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.429
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,990.884,11990884,12.535
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,841.83,10841830,11.214
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,10,828.96,10828960,9.970
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2787.678,23787678,14.161
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3153.225,25153225,47.087
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3447.486,23447486,38.579
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3735.789,22735789,80.878
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,23,2923.342,25923342,49.098
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,45,7796.206,52796206,48.308
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,48,10373.719,58373719,79.394
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,38,9387.799,47387799,117.799
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,45,10798.363,55798363,61.346
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,49,9466.609,58466609,92.415
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,71,17599.55,88599550,87.950
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,71,18366.389,89366389,82.764
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,72,19452.175,91452175,117.197
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,70,20763.733,90763733,154.325
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,70,17011.398,87011398,88.713
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.830
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,1.939
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,56.905
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,14.831
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.118
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,21,2813.299,23813299,42.209
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,24,3520.652,27520652,93.951
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,23,3824.959,26824959,129.234
examples/pdptw/pdptw_200/LC1_2_4.txt,ucb-tuned,300,0,21,3291.229,24291229,108.717
examples/pdptw/pdptw_200/LC1_2_5.txt,ucb-tuned,300,0,25,3785.015,28785015,103.033
examples/pdptw/pdptw_400/LC1_4_1.txt,ucb-tuned,300,0,60,11333.566,71333566,262.343
examples/pdptw/pdptw_400/LC1_4_2.txt,ucb-tuned,300,28,64,18450.805,28082450805,300.000
examples/pdptw/pdptw_400/LC1_4_5.txt,ucb-tuned,300,0,57,10542.709,67542709,220.549
examples/pdptw/pdptw_400/LC1_4_4.txt,ucb-tuned,300,50,33,12673.923,50045673923,300.000
examples/pdptw/pdptw_400/LC1_4_3.txt,ucb-tuned,300,30,55,17310.109,30072310109,300.000
examples/pdptw/pdptw_600/LC1_6_1.txt,ucb-tuned,300,74,135,36888.347,74171888347,300.000
examples/pdptw/pdptw_600/LC1_6_2.txt,ucb-tuned,300,218,65,21040.514,218086040514,300.000
examples/pdptw/pdptw_600/LC1_6_5.txt,ucb-tuned,300,74,121,37262.615,74158262615,300.000
examples/pdptw/pdptw_600/LC1_6_3.txt,ucb-tuned,300,328,36,12579.31,328048579310,300.000
examples/pdptw/pdptw_100/lc101.txt,ucb-tuned,300,0,11,857.093,11857093,15.910
examples/pdptw/pdptw_100/lc102.txt,ucb-tuned,300,0,10,828.96,10828960,4.095
examples/pdptw/pdptw_100/lc103.txt,ucb-tuned,300,0,11,911.931,11911931,32.384
examples/pdptw/pdptw_600/LC1_6_4.txt,ucb-tuned,300,330,26,10245.513,330036245513,300.000
examples/pdptw/pdptw_100/lc104.txt,ucb-tuned,300,0,10,849.17,10849170,31.391
examples/pdptw/pdptw_100/lc105.txt,ucb-tuned,300,0,10,828.96,10828960,15.993
examples/pdptw/pdptw_200/LC1_2_1.txt,egreedy-tuned,300,0,21,2814.03,23814030,19.082
examples/pdptw/pdptw_200/LC1_2_2.txt,egreedy-tuned,300,0,22,3510.647,25510647,66.978
examples/pdptw/pdptw_200/LC1_2_3.txt,egreedy-tuned,300,0,20,3837.654,23837654,56.853
examples/pdptw/pdptw_200/LC1_2_4.txt,egreedy-tuned,300,0,19,3686.023,22686023,80.814
examples/pdptw/pdptw_200/LC1_2_5.txt,egreedy-tuned,300,0,22,2991.867,24991867,36.700
examples/pdptw/pdptw_400/LC1_4_1.txt,egreedy-tuned,300,0,45,7735.041,52735041,39.606
examples/pdptw/pdptw_400/LC1_4_3.txt,egreedy-tuned,300,0,43,9285.808,52285808,47.720
examples/pdptw/pdptw_400/LC1_4_2.txt,egreedy-tuned,300,0,47,9965.024,56965024,72.119
examples/pdptw/pdptw_400/LC1_4_4.txt,egreedy-tuned,300,0,39,8812.318,47812318,117.514
examples/pdptw/pdptw_400/LC1_4_5.txt,egreedy-tuned,300,0,49,9758.052,58758052,99.988
examples/pdptw/pdptw_600/LC1_6_1.txt,egreedy-tuned,300,0,73,18439.407,91439407,93.673
examples/pdptw/pdptw_600/LC1_6_2.txt,egreedy-tuned,300,0,75,18874.083,93874083,91.575
examples/pdptw/pdptw_600/LC1_6_3.txt,egreedy-tuned,300,0,69,19658.07,88658070,117.411
examples/pdptw/pdptw_600/LC1_6_4.txt,egreedy-tuned,300,0,70,20709.176,90709176,157.458
examples/pdptw/pdptw_600/LC1_6_5.txt,egreedy-tuned,300,0,72,17650.216,89650216,88.723
examples/pdptw/pdptw_100/lc101.txt,egreedy-tuned,300,0,10,828.96,10828960,0.819
examples/pdptw/pdptw_100/lc102.txt,egreedy-tuned,300,0,10,828.96,10828960,2.463
examples/pdptw/pdptw_100/lc103.txt,egreedy-tuned,300,0,10,836.704,10836704,56.783
examples/pdptw/pdptw_100/lc104.txt,egreedy-tuned,300,0,10,819.908,10819908,14.343
examples/pdptw/pdptw_100/lc105.txt,egreedy-tuned,300,0,10,828.96,10828960,1.966
examples/pdptw/pdptw_200/LC1_2_1.txt,ucb-tuned,300,0,21,3005.692,24005692,47.787
examples/pdptw/pdptw_200/LC1_2_2.txt,ucb-tuned,300,0,26,3621.531,29621531,98.903
examples/pdptw/pdptw_200/LC1_2_3.txt,ucb-tuned,300,0,22,3882.815,25882815,126.015
