instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap,solOverTime
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc103.txt,dqn,300,0,14,,15770831,220912.2648547518,[(t:137.384-v:2449.080)-(t:181.470-v:2315.554)-(t:187.093-v:2313.635)-(t:195.543-v:2304.781)-(t:198.087-v:2300.502)-(t:200.527-v:2299.664)-(t:202.875-v:2294.028)-(t:205.203-v:2294.014)-(t:207.173-v:2293.733)-(t:209.169-v:2293.062)-(t:211.668-v:2258.950)-(t:214.358-v:2253.503)-(t:216.655-v:2186.649)-(t:219.009-v:2183.721)-(t:221.451-v:2181.679)-(t:223.874-v:2135.754)-(t:228.706-v:2027.611)-(t:231.128-v:2020.484)-(t:234.154-v:2018.001)-(t:237.477-v:1992.197)-(t:240.025-v:1991.478)-(t:242.867-v:1991.324)-(t:245.733-v:1968.028)-(t:249.074-v:1967.443)-(t:252.871-v:1962.839)-(t:255.728-v:1934.872)-(t:258.184-v:1930.007)-(t:260.550-v:1928.266)-(t:262.973-v:1925.161)-(t:265.093-v:1923.642)-(t:267.306-v:1919.951)-(t:269.377-v:1903.402)-(t:271.756-v:1898.088)-(t:273.966-v:1897.757)-(t:276.681-v:1832.929)-(t:279.512-v:1831.951)-(t:282.456-v:1789.506)-(t:285.109-v:1783.909)-(t:287.470-v:1783.694)-(t:289.325-v:1778.955)-(t:291.467-v:1776.610)-(t:293.864-v:1771.929)-(t:296.032-v:1771.243)-(t:306.703-v:1770.831)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc102.txt,dqn,300,0,15,,16546284,237359.1628147178,[(t:142.068-v:2587.838)-(t:169.624-v:2451.686)-(t:172.011-v:2446.980)-(t:174.720-v:2443.399)-(t:177.826-v:2441.395)-(t:187.038-v:2440.166)-(t:189.178-v:2411.684)-(t:192.169-v:2407.152)-(t:194.174-v:2401.348)-(t:196.416-v:2400.438)-(t:198.328-v:2399.044)-(t:199.997-v:2382.045)-(t:202.920-v:2332.219)-(t:205.335-v:2275.263)-(t:207.955-v:2273.227)-(t:210.684-v:2268.858)-(t:212.968-v:2197.018)-(t:215.646-v:2167.813)-(t:221.289-v:2106.850)-(t:224.448-v:2105.018)-(t:227.176-v:2078.597)-(t:229.700-v:2061.712)-(t:232.065-v:2042.445)-(t:234.565-v:2019.577)-(t:239.136-v:1971.391)-(t:241.037-v:1966.062)-(t:243.227-v:1958.935)-(t:245.228-v:1934.727)-(t:247.609-v:1923.135)-(t:249.553-v:1895.811)-(t:251.622-v:1893.745)-(t:253.976-v:1893.368)-(t:256.416-v:1877.558)-(t:259.542-v:1852.410)-(t:262.385-v:1851.779)-(t:265.230-v:1842.238)-(t:268.037-v:1830.656)-(t:270.254-v:1734.835)-(t:272.958-v:1668.925)-(t:275.232-v:1664.788)-(t:277.202-v:1664.113)-(t:279.427-v:1663.262)-(t:281.500-v:1659.210)-(t:283.428-v:1657.167)-(t:285.745-v:1684.555)-(t:288.493-v:1676.647)-(t:291.285-v:1676.161)-(t:294.139-v:1638.329)-(t:296.407-v:1587.020)-(t:308.079-v:1546.284)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc105.txt,dqn,300,0,14,,15163475,223986.39961845832,[(t:139.968-v:2376.053)-(t:179.109-v:2232.378)-(t:181.342-v:2229.568)-(t:184.000-v:2228.873)-(t:186.468-v:2199.579)-(t:196.846-v:2189.910)-(t:199.566-v:2111.370)-(t:204.674-v:2057.995)-(t:207.236-v:2057.230)-(t:209.755-v:2005.463)-(t:212.433-v:1981.567)-(t:214.573-v:1898.257)-(t:217.072-v:1894.414)-(t:219.308-v:1875.012)-(t:221.696-v:1874.028)-(t:224.182-v:1842.573)-(t:226.718-v:1839.846)-(t:229.163-v:1752.831)-(t:231.892-v:1662.992)-(t:234.732-v:1645.858)-(t:237.618-v:1636.301)-(t:240.290-v:1587.247)-(t:242.686-v:1501.047)-(t:245.027-v:1485.545)-(t:247.088-v:1485.435)-(t:249.625-v:1478.998)-(t:251.754-v:1460.341)-(t:254.284-v:1458.968)-(t:257.262-v:1456.813)-(t:259.697-v:1455.419)-(t:262.255-v:1449.247)-(t:264.710-v:1425.004)-(t:266.957-v:1423.703)-(t:269.501-v:1420.658)-(t:272.080-v:1419.152)-(t:274.277-v:1384.385)-(t:277.518-v:1328.292)-(t:280.081-v:1264.775)-(t:282.766-v:1265.507)-(t:285.350-v:1180.290)-(t:287.940-v:1171.399)-(t:290.290-v:1163.475)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_3.txt,dqn,300,6,27,,6033988928,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_1.txt,dqn,300,82,21,,82024048001,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_4.txt,dqn,300,36,21,,36026956571,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_1.txt,dqn,300,284,34,,284040449498,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_2.txt,dqn,300,48,26,,48031048051,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_200/LC1_2_5.txt,dqn,300,70,20,,70023721754,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_2.txt,dqn,300,268,24,,268030307450,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_3.txt,dqn,300,274,27,,274033638461,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_4.txt,dqn,300,274,18,,274024095418,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_400/LC1_4_5.txt,dqn,300,252,23,,252028918503,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_3.txt,dqn,300,448,27,,448035637664,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_1.txt,dqn,300,468,27,,468033573524,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_2.txt,dqn,300,494,22,,494027269812,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc102.txt,dqn,300,0,17,,18574982,231433.1274067823,[(t:136.244-v:2081.450)-(t:265.139-v:1769.279)-(t:267.660-v:1727.155)-(t:270.950-v:1723.551)-(t:274.272-v:1706.406)-(t:277.457-v:1706.006)-(t:280.194-v:1702.637)-(t:282.755-v:1699.807)-(t:285.701-v:1654.457)-(t:288.916-v:1619.804)-(t:291.848-v:1617.422)-(t:294.537-v:1617.289)-(t:297.647-v:1582.914)-(t:300.328-v:1574.982)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_4.txt,dqn,300,492,19,,492026704789,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_600/LC1_6_5.txt,dqn,300,478,29,,478035889363,300000.0,[]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc101.txt,dqn,300,0,15,,16258291,223528.1802689866,[(t:142.061-v:1869.806)-(t:239.015-v:1755.816)-(t:241.271-v:1754.525)-(t:243.554-v:1717.259)-(t:246.051-v:1716.304)-(t:248.611-v:1711.088)-(t:250.923-v:1708.930)-(t:253.749-v:1708.734)-(t:255.826-v:1668.614)-(t:258.449-v:1666.742)-(t:260.578-v:1658.233)-(t:262.879-v:1655.594)-(t:265.046-v:1625.855)-(t:267.039-v:1623.566)-(t:268.638-v:1573.556)-(t:270.492-v:1541.773)-(t:272.497-v:1479.440)-(t:274.573-v:1466.422)-(t:276.552-v:1419.447)-(t:279.129-v:1406.637)-(t:281.603-v:1306.057)-(t:302.069-v:1258.291)]
/gpfs/home/acad/ulb-qsec/yanneke/LearningForOptimizing/examples/pdptw/pdptw_100/lc103.txt,dqn,300,0,12,,13049021,205464.71444080112,[(t:176.674-v:1859.368)-(t:189.022-v:1832.211)-(t:191.898-v:1829.702)-(t:195.214-v:1829.620)-(t:198.022-v:1827.461)-(t:200.693-v:1786.145)-(t:203.544-v:1786.011)-(t:206.241-v:1722.480)-(t:208.893-v:1709.431)-(t:212.070-v:1702.562)-(t:215.121-v:1699.409)-(t:217.973-v:1696.000)-(t:221.032-v:1627.474)-(t:223.854-v:1610.559)-(t:226.706-v:1508.657)-(t:229.604-v:1350.104)-(t:232.538-v:1298.166)-(t:235.472-v:1297.993)-(t:238.474-v:1297.407)-(t:241.170-v:1295.317)-(t:243.653-v:1294.765)-(t:246.232-v:1210.114)-(t:248.708-v:1206.114)-(t:251.838-v:1205.714)-(t:254.865-v:1200.111)-(t:257.679-v:1195.345)-(t:260.600-v:1194.393)-(t:263.839-v:1146.634)-(t:266.878-v:1120.680)-(t:270.256-v:1085.556)-(t:273.218-v:1067.653)-(t:276.738-v:1067.489)-(t:279.683-v:1067.077)-(t:282.366-v:1064.918)-(t:285.369-v:1058.788)-(t:288.889-v:1049.021)]
