instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective,integralPrimalGap
examples/pdptw/pdptw_100/lc102.txt,ppo,300,,,,,
examples/pdptw/pdptw_400/LC1_4_4.txt,ppo,300,0,41,10204.227,51204227,152.292
examples/pdptw/pdptw_400/LC1_4_5.txt,ppo,300,0,52,10435.786,62435786,138.245
examples/pdptw/pdptw_600/LC1_6_1.txt,ppo,300,0,80,19356.139,99356139,194.895
examples/pdptw/pdptw_600/LC1_6_2.txt,ppo,300,0,82,20563.206,102563206,202.471
examples/pdptw/pdptw_600/LC1_6_4.txt,ppo,300,0,72,26167.181,98167181,260.636
examples/pdptw/pdptw_600/LC1_6_3.txt,ppo,300,0,79,24910.342,103910342,251.338
examples/pdptw/pdptw_600/LC1_6_5.txt,ppo,300,0,70,17145.465,87145465,184.185
examples/pdptw/pdptw_100/lc101.txt,ppo,300,0,10,828.96,10828960,10.897
examples/pdptw/pdptw_100/lc103.txt,ppo,300,0,10,836.704,10836704,56.205
examples/pdptw/pdptw_100/lc104.txt,ppo,300,,,,,
examples/pdptw/pdptw_200/LC1_2_5.txt,ppo,300,,,,,
examples/pdptw/pdptw_100/lc105.txt,ppo,300,0,10,828.96,10828960,8.072
examples/pdptw/pdptw_200/LC1_2_1.txt,ppo,300,0,26,3613.596,29613596,84.949
examples/pdptw/pdptw_200/LC1_2_2.txt,ppo,300,0,24,3603.549,27603549,87.038
examples/pdptw/pdptw_200/LC1_2_3.txt,ppo,300,0,21,3874.551,24874551,60.581
examples/pdptw/pdptw_200/LC1_2_4.txt,ppo,300,0,20,3463.999,23463999,83.247
examples/pdptw/pdptw_400/LC1_4_1.txt,ppo,300,0,47,8566.145,55566145,123.584
examples/pdptw/pdptw_400/LC1_4_2.txt,ppo,300,0,51,10487.988,61487988,127.806
examples/pdptw/pdptw_400/LC1_4_3.txt,ppo,300,0,47,10421.753,57421753,109.429
examples/pdptw/pdptw_100/lc101.txt,ppo,300,,,,,
examples/pdptw/pdptw_400/LC1_4_4.txt,ppo,300,0,40,9988.192,49988192,164.173
examples/pdptw/pdptw_400/LC1_4_5.txt,ppo,300,0,49,10091.883,59091883,109.048
examples/pdptw/pdptw_600/LC1_6_1.txt,ppo,300,0,87,20152.823,107152823,252.221
examples/pdptw/pdptw_600/LC1_6_2.txt,ppo,300,0,82,20152.744,102152744,211.322
examples/pdptw/pdptw_600/LC1_6_3.txt,ppo,300,0,75,21954.816,96954816,240.865
examples/pdptw/pdptw_100/lc103.txt,ppo,300,,,,,
examples/pdptw/pdptw_100/lc104.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_4.txt,ppo,300,0,73,24190.517,97190517,226.542
examples/pdptw/pdptw_200/LC1_2_1.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_5.txt,ppo,300,0,80,20095.849,100095849,218.828
examples/pdptw/pdptw_100/lc102.txt,ppo,300,0,10,828.96,10828960,9.201
examples/pdptw/pdptw_200/LC1_2_2.txt,ppo,300,,,,,
examples/pdptw/pdptw_100/lc105.txt,ppo,300,0,10,828.96,10828960,6.652
examples/pdptw/pdptw_200/LC1_2_3.txt,ppo,300,0,20,3449.161,23449161,56.894
examples/pdptw/pdptw_200/LC1_2_4.txt,ppo,300,0,20,3770.851,23770851,102.671
examples/pdptw/pdptw_200/LC1_2_5.txt,ppo,300,0,23,3051.913,26051913,49.952
examples/pdptw/pdptw_400/LC1_4_1.txt,ppo,300,0,54,9682.893,63682893,129.652
examples/pdptw/pdptw_400/LC1_4_2.txt,ppo,300,0,51,9965.556,60965556,123.864
examples/pdptw/pdptw_400/LC1_4_3.txt,ppo,300,0,45,10224.97,55224970,116.512
examples/pdptw/pdptw_400/LC1_4_4.txt,ppo,300,0,40,10602.499,50602499,161.669
examples/pdptw/pdptw_400/LC1_4_5.txt,ppo,300,0,47,9110.04,56110040,115.822
examples/pdptw/pdptw_600/LC1_6_1.txt,ppo,300,0,102,23171.836,125171836,263.362
examples/pdptw/pdptw_100/lc104.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_2.txt,ppo,300,0,87,21688.112,108688112,232.245
examples/pdptw/pdptw_100/lc105.txt,ppo,300,,,,,
examples/pdptw/pdptw_100/lc102.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_3.txt,ppo,300,0,85,27678.514,112678514,254.132
examples/pdptw/pdptw_600/LC1_6_4.txt,ppo,300,0,75,26849.126,101849126,251.672
examples/pdptw/pdptw_100/lc101.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_5.txt,ppo,300,0,80,20075.597,100075597,225.333
examples/pdptw/pdptw_100/lc103.txt,ppo,300,0,12,927.766,12927766,34.340
examples/pdptw/pdptw_200/LC1_2_1.txt,ppo,300,0,22,2834.204,24834204,38.857
examples/pdptw/pdptw_200/LC1_2_2.txt,ppo,300,0,24,3563.942,27563942,78.642
examples/pdptw/pdptw_200/LC1_2_3.txt,ppo,300,0,20,3224.562,23224562,46.480
examples/pdptw/pdptw_200/LC1_2_4.txt,ppo,300,0,20,3356.917,23356917,76.272
examples/pdptw/pdptw_200/LC1_2_5.txt,ppo,300,0,22,3097.937,25097937,57.603
examples/pdptw/pdptw_400/LC1_4_1.txt,ppo,300,0,46,8301.938,54301938,94.368
examples/pdptw/pdptw_400/LC1_4_2.txt,ppo,300,0,50,9726.559,59726559,101.572
examples/pdptw/pdptw_400/LC1_4_3.txt,ppo,300,0,45,9852.127,54852127,116.580
examples/pdptw/pdptw_400/LC1_4_4.txt,ppo,300,0,38,8801.215,46801215,127.819
examples/pdptw/pdptw_400/LC1_4_5.txt,ppo,300,0,50,8835.341,58835341,105.264
examples/pdptw/pdptw_600/LC1_6_1.txt,ppo,300,0,81,18799.24,99799240,174.056
examples/pdptw/pdptw_100/lc105.txt,ppo,300,,,,,
examples/pdptw/pdptw_600/LC1_6_2.txt,ppo,300,0,79,19466.611,98466611,222.178
examples/pdptw/pdptw_600/LC1_6_3.txt,ppo,300,0,76,23896.709,99896709,230.444
examples/pdptw/pdptw_600/LC1_6_4.txt,ppo,300,0,70,23463.622,93463622,212.282
examples/pdptw/pdptw_600/LC1_6_5.txt,ppo,300,0,74,18410.435,92410435,180.087
