bandit,instance,reward,timeout,seed,-a,Result,bestObj,solOverTime,integralPrimalGap,history
ppo,examples/tsp/tsplib/gr137.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-gr137 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162138406313,======,131007093461.0,[],900.0,[]
ppo,examples/tsp/tsplib/bier127.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-bier127 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162240523620,======,123005290621.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroA100.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroA100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822162857674548,======,94008133761.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil101.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil101 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822164627568266,======,95000118387.0,[],900.0,[]
ppo,examples/tsp/tsplib/rd100.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-rd100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822165473953843,======,96002448187.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil51.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil51 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822165429197240,======,45000113713.0,[],900.0,[]
ppo,examples/tsp/tsplib/eil76.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-eil76 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822165540909444,======,70000103856.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroC100.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroC100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822165927210120,======,96004736067.0,[],900.0,[]
ppo,examples/tsp/tsplib/gr24.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-gr24 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822165940064677,======,20000702000.0,[],900.0,[]
ppo,examples/tsp/tsplib/pr299.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-pr299 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822166130561831,======,295000600010.0,[],900.0,[]
ppo,examples/tsp/tsplib/kroD100.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-kroD100 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822166268648107,======,94006079607.0,[],900.0,[]
ppo,examples/tsp/tsplib/rat783.tsp,r3,900,0,ppo --device=auto-gpu --c1-start=0.34 --c1-end=0.06 --c1-n-secs=196 --c2-start=0.39 --c2-end=0.2 --c2-n-secs=431 --n-epochs=65 --lr-critic=7.315462310749335E-4 --clipping=11.799185331865313 --batch-size=15 --seed=0 --disable-training-logs --memory-size=1015 --lr=0.0018103176507973232 --logdir=logs/ppo-tsp_all-15m-r3/tsp-rat783 --communication=unix-socket -i=/tmp/pipes/unix-socket-1822170381924477,======,779000452000.0,[],900.0,[]
