instance,bandit,timeout,objective,integralPrimalGap
examples/csp/csp_300/carseq_300_8_20_47.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,bestslopefirst,300,0,0.758
examples/csp/csp_300/carseq_300_8_20_78.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_72.txt,bestslopefirst,300,0,0.926
examples/csp/csp_300/carseq_300_8_20_80.txt,epsilongreedy-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_81.txt,epsilongreedy-tuned,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_73.txt,bestslopefirst,300,0,4.002
examples/csp/csp_300/pb_300_06.txt,epsilongreedy-tuned,300,7,300.000
examples/csp/csp_100/carseq_100_8_20_77.txt,bestslopefirst,300,0,2.726
examples/csp/csp_300/pb_300_07.txt,epsilongreedy-tuned,300,7,300.000
examples/csp/csp_300/pb_300_08.txt,epsilongreedy-tuned,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,epsilongreedy-tuned,300,13,300.000
examples/csp/csp_300/pb_300_10.txt,epsilongreedy-tuned,300,28,300.000
examples/csp/csp_100/carseq_100_8_20_94.txt,bestslopefirst,300,0,0.891
examples/csp/csp_100/16-81.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,bestslopefirst,300,0,3.790
examples/csp/csp_100/21-90.txt,bestslopefirst,300,2,0.700
examples/csp/csp_100/carseq_100_8_20_88.txt,bestslopefirst,300,0,13.661
examples/csp/csp_100/36-92.txt,bestslopefirst,300,3,100.958
examples/csp/csp_100/4-72.txt,bestslopefirst,300,2,300.000
examples/csp/csp_300/carseq_300_8_20_38.txt,bestslopefirst,300,0,2.132
examples/csp/csp_100/6-76.txt,bestslopefirst,300,6,0.261
examples/csp/csp_100/carseq_100_8_20_64.txt,bestslopefirst,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_47.txt,bestslopefirst,300,0,20.357
examples/csp/csp_300/carseq_300_8_20_53.txt,bestslopefirst,300,0,3.732
examples/csp/csp_300/carseq_300_8_20_56.txt,bestslopefirst,300,0,6.100
examples/csp/csp_300/carseq_300_8_20_62.txt,bestslopefirst,300,0,7.437
examples/csp/csp_300/carseq_300_8_20_76.txt,bestslopefirst,300,0,9.439
examples/csp/csp_300/carseq_300_8_20_78.txt,bestslopefirst,300,0,25.015
examples/csp/csp_300/carseq_300_8_20_80.txt,bestslopefirst,300,0,31.940
examples/csp/csp_100/carseq_100_8_20_71.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_81.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_82.txt,bestslopefirst,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_86.txt,bestslopefirst,300,2,300.000
examples/csp/csp_100/carseq_100_8_20_98.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_99.txt,bestslopefirst,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,bestslopefirst,300,6,300.000
examples/csp/csp_200/pb_200_07.txt,bestslopefirst,300,1,300.000
examples/csp/csp_200/pb_200_08.txt,bestslopefirst,300,8,300.000
examples/csp/csp_200/pb_200_09.txt,bestslopefirst,300,10,300.000
examples/csp/csp_100/carseq_100_8_20_62.txt,random,300,0,4.532
examples/csp/csp_100/carseq_100_8_20_64.txt,random,300,0,2.280
examples/csp/csp_100/carseq_100_8_20_67.txt,random,300,0,2.382
examples/csp/csp_200/pb_200_10.txt,bestslopefirst,300,19,300.000
examples/csp/csp_100/carseq_100_8_20_72.txt,random,300,0,1.076
examples/csp/csp_100/carseq_100_8_20_71.txt,random,300,0,2.725
examples/csp/csp_100/carseq_100_8_20_73.txt,random,300,0,0.677
examples/csp/csp_300/carseq_300_8_20_40.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_77.txt,random,300,0,2.445
examples/csp/csp_100/carseq_100_8_20_82.txt,random,300,0,13.237
examples/csp/csp_100/carseq_100_8_20_86.txt,random,300,0,15.004
examples/csp/csp_300/carseq_300_8_20_45.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,random,300,0,1.475
examples/csp/csp_100/carseq_100_8_20_94.txt,random,300,0,1.612
examples/csp/csp_300/carseq_300_8_20_81.txt,bestslopefirst,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_88.txt,random,300,0,137.765
examples/csp/csp_300/pb_300_06.txt,bestslopefirst,300,7,300.000
examples/csp/csp_200/pb_200_07.txt,random,300,0,10.956
examples/csp/csp_300/pb_300_07.txt,bestslopefirst,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,bestslopefirst,300,8,300.000
examples/csp/csp_300/pb_300_09.txt,bestslopefirst,300,9,300.000
examples/csp/csp_300/pb_300_10.txt,bestslopefirst,300,25,300.000
examples/csp/csp_100/16-81.txt,random,300,1,300.000
examples/csp/csp_100/21-90.txt,random,300,2,1.291
examples/csp/csp_100/36-92.txt,random,300,3,100.500
examples/csp/csp_300/carseq_300_8_20_38.txt,random,300,0,8.881
examples/csp/csp_100/4-72.txt,random,300,1,300.000
examples/csp/csp_100/6-76.txt,random,300,6,0.330
examples/csp/csp_300/carseq_300_8_20_53.txt,random,300,0,8.789
examples/csp/csp_300/carseq_300_8_20_47.txt,random,300,0,18.150
examples/csp/csp_300/carseq_300_8_20_62.txt,random,300,0,17.840
examples/csp/csp_300/carseq_300_8_20_76.txt,random,300,0,17.091
examples/csp/csp_100/carseq_100_8_20_81.txt,random,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,random,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_56.txt,random,300,0,25.916
examples/csp/csp_100/carseq_100_8_20_98.txt,random,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_81.txt,random,300,0,86.729
examples/csp/csp_300/carseq_300_8_20_78.txt,random,300,0,110.005
examples/csp/csp_300/carseq_300_8_20_45.txt,random,300,0,123.181
examples/csp/csp_100/carseq_100_8_20_99.txt,random,300,1,300.000
examples/csp/csp_200/pb_200_06.txt,random,300,6,300.000
examples/csp/csp_200/pb_200_08.txt,random,300,8,300.000
examples/csp/csp_100/carseq_100_8_20_62.txt,ucb-tuned,300,0,8.911
examples/csp/csp_200/pb_200_09.txt,random,300,10,300.000
examples/csp/csp_200/pb_200_10.txt,random,300,20,300.000
examples/csp/csp_100/carseq_100_8_20_67.txt,ucb-tuned,300,0,1.082
examples/csp/csp_300/carseq_300_8_20_40.txt,random,300,3,300.000
examples/csp/csp_100/carseq_100_8_20_71.txt,ucb-tuned,300,0,1.721
examples/csp/csp_100/carseq_100_8_20_64.txt,ucb-tuned,300,0,6.050
examples/csp/csp_100/carseq_100_8_20_77.txt,ucb-tuned,300,0,2.016
examples/csp/csp_100/carseq_100_8_20_73.txt,ucb-tuned,300,0,12.579
examples/csp/csp_300/carseq_300_8_20_80.txt,random,300,18,300.000
examples/csp/csp_300/pb_300_06.txt,random,300,4,300.000
examples/csp/csp_300/pb_300_07.txt,random,300,1,300.000
examples/csp/csp_300/pb_300_08.txt,random,300,8,300.000
examples/csp/csp_100/carseq_100_8_20_88.txt,ucb-tuned,300,0,5.891
examples/csp/csp_100/carseq_100_8_20_94.txt,ucb-tuned,300,0,1.862
examples/csp/csp_300/pb_300_09.txt,random,300,8,300.000
examples/csp/csp_100/carseq_100_8_20_90.txt,ucb-tuned,300,0,5.497
examples/csp/csp_300/pb_300_10.txt,random,300,24,300.000
examples/csp/csp_100/carseq_100_8_20_86.txt,ucb-tuned,300,0,79.474
examples/csp/csp_100/16-81.txt,ucb-tuned,300,2,300.000
examples/csp/csp_100/21-90.txt,ucb-tuned,300,2,0.509
examples/csp/csp_100/36-92.txt,ucb-tuned,300,2,16.413
examples/csp/csp_300/carseq_300_8_20_38.txt,ucb-tuned,300,0,8.102
examples/csp/csp_100/4-72.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/6-76.txt,ucb-tuned,300,6,0.467
examples/csp/csp_300/carseq_300_8_20_53.txt,ucb-tuned,300,0,14.633
examples/csp/csp_100/carseq_100_8_20_72.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_45.txt,ucb-tuned,300,0,163.940
examples/csp/csp_100/carseq_100_8_20_81.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_82.txt,ucb-tuned,300,1,300.000
examples/csp/csp_100/carseq_100_8_20_85.txt,ucb-tuned,300,1,300.000
examples/csp/csp_300/carseq_300_8_20_62.txt,ucb-tuned,300,0,12.927
examples/csp/csp_300/carseq_300_8_20_47.txt,ucb-tuned,300,0,128.418
examples/csp/csp_300/carseq_300_8_20_40.txt,ucb-tuned,300,0,186.206
examples/csp/csp_300/carseq_300_8_20_76.txt,ucb-tuned,300,0,15.998
examples/csp/csp_100/carseq_100_8_20_98.txt,ucb-tuned,300,1,300.000
