instance,bandit,reward,timeout,seed,sol_over_time,objective,integral_primal_gap
examples/csp/csp_100/16-81.txt,dqn,r1,5,0,[(t:0.221-v:138.000)-(t:0.226-v:136.000)-(t:0.231-v:131.000)-(t:0.233-v:128.000)-(t:0.240-v:127.000)-(t:0.243-v:126.000)-(t:0.245-v:121.000)-(t:0.248-v:116.000)-(t:0.250-v:110.000)-(t:0.251-v:108.000)-(t:0.253-v:107.000)-(t:0.255-v:106.000)-(t:0.256-v:102.000)-(t:0.257-v:100.000)-(t:0.259-v:97.000)-(t:0.261-v:96.000)-(t:0.263-v:95.000)-(t:0.265-v:93.000)-(t:0.267-v:92.000)-(t:0.268-v:90.000)-(t:0.269-v:89.000)-(t:0.274-v:88.000)-(t:0.277-v:87.000)-(t:0.280-v:86.000)-(t:0.281-v:85.000)-(t:0.283-v:84.000)-(t:0.285-v:83.000)-(t:0.288-v:82.000)-(t:0.290-v:81.000)-(t:0.292-v:80.000)-(t:0.294-v:79.000)-(t:0.297-v:78.000)-(t:0.299-v:77.000)-(t:0.301-v:76.000)-(t:0.304-v:75.000)-(t:0.306-v:74.000)-(t:0.308-v:72.000)-(t:0.311-v:71.000)-(t:0.313-v:70.000)-(t:0.316-v:69.000)-(t:0.319-v:68.000)-(t:0.322-v:65.000)-(t:0.326-v:64.000)-(t:0.329-v:63.000)-(t:0.331-v:62.000)-(t:0.333-v:61.000)-(t:0.335-v:59.000)-(t:0.340-v:56.000)-(t:0.343-v:54.000)-(t:0.345-v:52.000)-(t:0.348-v:51.000)-(t:0.350-v:50.000)-(t:0.352-v:49.000)-(t:0.354-v:47.000)-(t:0.357-v:46.000)-(t:0.360-v:45.000)-(t:0.362-v:44.000)-(t:0.364-v:43.000)-(t:0.366-v:42.000)-(t:0.370-v:41.000)-(t:0.372-v:40.000)-(t:0.375-v:39.000)-(t:0.377-v:38.000)-(t:0.381-v:37.000)-(t:0.384-v:36.000)-(t:0.386-v:35.000)-(t:0.389-v:34.000)-(t:0.391-v:32.000)-(t:0.393-v:31.000)-(t:0.395-v:29.000)-(t:0.402-v:28.000)-(t:0.404-v:27.000)-(t:0.406-v:26.000)-(t:0.409-v:25.000)-(t:0.423-v:24.000)-(t:0.426-v:23.000)-(t:0.428-v:22.000)-(t:0.430-v:21.000)-(t:0.434-v:20.000)-(t:0.441-v:19.000)-(t:0.443-v:18.000)-(t:0.450-v:17.000)-(t:0.481-v:16.000)-(t:0.491-v:15.000)-(t:0.496-v:14.000)-(t:0.498-v:13.000)-(t:0.522-v:12.000)-(t:0.524-v:11.000)-(t:0.691-v:10.000)-(t:0.697-v:9.000)-(t:3.143-v:8.000)-(t:3.399-v:7.000)-(t:3.497-v:6.000)],6.0,5.0
examples/csp/csp_100/21-90.txt,dqn,r1,5,0,[(t:0.240-v:130.000)-(t:0.247-v:124.000)-(t:0.254-v:123.000)-(t:0.256-v:120.000)-(t:0.265-v:117.000)-(t:0.267-v:114.000)-(t:0.269-v:112.000)-(t:0.272-v:110.000)-(t:0.275-v:109.000)-(t:0.276-v:108.000)-(t:0.277-v:107.000)-(t:0.278-v:104.000)-(t:0.280-v:102.000)-(t:0.282-v:100.000)-(t:0.284-v:99.000)-(t:0.286-v:94.000)-(t:0.288-v:90.000)-(t:0.292-v:89.000)-(t:0.295-v:85.000)-(t:0.298-v:84.000)-(t:0.301-v:81.000)-(t:0.307-v:79.000)-(t:0.310-v:78.000)-(t:0.312-v:75.000)-(t:0.315-v:74.000)-(t:0.317-v:72.000)-(t:0.319-v:71.000)-(t:0.321-v:70.000)-(t:0.323-v:66.000)-(t:0.326-v:65.000)-(t:0.328-v:63.000)-(t:0.330-v:62.000)-(t:0.334-v:61.000)-(t:0.342-v:60.000)-(t:0.345-v:58.000)-(t:0.348-v:56.000)-(t:0.351-v:55.000)-(t:0.354-v:54.000)-(t:0.356-v:53.000)-(t:0.359-v:52.000)-(t:0.361-v:50.000)-(t:0.364-v:49.000)-(t:0.368-v:48.000)-(t:0.370-v:47.000)-(t:0.372-v:46.000)-(t:0.375-v:45.000)-(t:0.376-v:44.000)-(t:0.378-v:42.000)-(t:0.380-v:41.000)-(t:0.386-v:40.000)-(t:0.390-v:39.000)-(t:0.394-v:38.000)-(t:0.397-v:37.000)-(t:0.401-v:36.000)-(t:0.405-v:35.000)-(t:0.410-v:34.000)-(t:0.416-v:33.000)-(t:0.421-v:32.000)-(t:0.425-v:31.000)-(t:0.432-v:30.000)-(t:0.435-v:29.000)-(t:0.441-v:28.000)-(t:0.445-v:27.000)-(t:0.460-v:25.000)-(t:0.467-v:24.000)-(t:0.472-v:23.000)-(t:0.475-v:22.000)-(t:0.479-v:21.000)-(t:0.489-v:20.000)-(t:0.495-v:19.000)-(t:0.499-v:18.000)-(t:0.502-v:17.000)-(t:0.506-v:16.000)-(t:0.511-v:15.000)-(t:0.533-v:14.000)-(t:0.560-v:13.000)-(t:0.586-v:12.000)-(t:0.589-v:11.000)-(t:0.591-v:10.000)-(t:0.592-v:9.000)-(t:0.598-v:8.000)-(t:0.737-v:7.000)-(t:0.740-v:6.000)-(t:0.747-v:5.000)-(t:1.632-v:4.000)-(t:1.639-v:3.000)-(t:1.893-v:2.000)],2.0,1.301
examples/csp/csp_100/36-92.txt,dqn,r1,5,0,[(t:0.231-v:113.000)-(t:0.237-v:110.000)-(t:0.241-v:109.000)-(t:0.243-v:106.000)-(t:0.249-v:105.000)-(t:0.251-v:104.000)-(t:0.253-v:101.000)-(t:0.254-v:100.000)-(t:0.256-v:99.000)-(t:0.257-v:98.000)-(t:0.258-v:97.000)-(t:0.259-v:94.000)-(t:0.260-v:93.000)-(t:0.262-v:90.000)-(t:0.263-v:87.000)-(t:0.264-v:86.000)-(t:0.265-v:84.000)-(t:0.269-v:82.000)-(t:0.270-v:79.000)-(t:0.272-v:77.000)-(t:0.273-v:76.000)-(t:0.277-v:75.000)-(t:0.279-v:74.000)-(t:0.281-v:73.000)-(t:0.283-v:72.000)-(t:0.284-v:71.000)-(t:0.285-v:70.000)-(t:0.287-v:69.000)-(t:0.288-v:67.000)-(t:0.290-v:65.000)-(t:0.292-v:64.000)-(t:0.294-v:60.000)-(t:0.296-v:57.000)-(t:0.298-v:55.000)-(t:0.299-v:54.000)-(t:0.301-v:53.000)-(t:0.303-v:52.000)-(t:0.306-v:50.000)-(t:0.307-v:49.000)-(t:0.314-v:48.000)-(t:0.319-v:47.000)-(t:0.322-v:46.000)-(t:0.325-v:45.000)-(t:0.328-v:43.000)-(t:0.332-v:41.000)-(t:0.335-v:40.000)-(t:0.339-v:39.000)-(t:0.346-v:38.000)-(t:0.353-v:37.000)-(t:0.357-v:35.000)-(t:0.361-v:34.000)-(t:0.368-v:33.000)-(t:0.374-v:32.000)-(t:0.378-v:31.000)-(t:0.385-v:30.000)-(t:0.391-v:29.000)-(t:0.396-v:28.000)-(t:0.399-v:27.000)-(t:0.405-v:26.000)-(t:0.410-v:25.000)-(t:0.414-v:24.000)-(t:0.418-v:23.000)-(t:0.424-v:22.000)-(t:0.427-v:21.000)-(t:0.435-v:20.000)-(t:0.445-v:18.000)-(t:0.474-v:17.000)-(t:0.485-v:16.000)-(t:0.490-v:15.000)-(t:0.508-v:14.000)-(t:0.511-v:13.000)-(t:0.513-v:12.000)-(t:0.529-v:11.000)-(t:0.552-v:10.000)-(t:0.565-v:9.000)-(t:0.568-v:8.000)-(t:0.571-v:7.000)-(t:1.123-v:6.000)-(t:1.133-v:5.000)-(t:2.030-v:4.000)-(t:2.871-v:3.000)-(t:3.473-v:2.000)],2.0,2.101
examples/csp/csp_100/4-72.txt,dqn,r1,5,0,[(t:0.228-v:123.000)-(t:0.234-v:122.000)-(t:0.238-v:118.000)-(t:0.240-v:114.000)-(t:0.247-v:113.000)-(t:0.250-v:112.000)-(t:0.251-v:111.000)-(t:0.254-v:110.000)-(t:0.256-v:108.000)-(t:0.257-v:103.000)-(t:0.258-v:101.000)-(t:0.259-v:100.000)-(t:0.261-v:99.000)-(t:0.262-v:98.000)-(t:0.263-v:96.000)-(t:0.264-v:95.000)-(t:0.267-v:93.000)-(t:0.268-v:92.000)-(t:0.272-v:91.000)-(t:0.273-v:90.000)-(t:0.275-v:86.000)-(t:0.277-v:84.000)-(t:0.278-v:83.000)-(t:0.281-v:81.000)-(t:0.284-v:80.000)-(t:0.285-v:79.000)-(t:0.287-v:76.000)-(t:0.288-v:73.000)-(t:0.290-v:72.000)-(t:0.292-v:71.000)-(t:0.294-v:69.000)-(t:0.296-v:67.000)-(t:0.302-v:66.000)-(t:0.304-v:65.000)-(t:0.306-v:64.000)-(t:0.308-v:63.000)-(t:0.312-v:61.000)-(t:0.315-v:60.000)-(t:0.318-v:59.000)-(t:0.320-v:55.000)-(t:0.323-v:54.000)-(t:0.325-v:53.000)-(t:0.328-v:51.000)-(t:0.330-v:50.000)-(t:0.333-v:49.000)-(t:0.335-v:48.000)-(t:0.338-v:47.000)-(t:0.341-v:46.000)-(t:0.343-v:45.000)-(t:0.345-v:44.000)-(t:0.349-v:43.000)-(t:0.352-v:42.000)-(t:0.354-v:41.000)-(t:0.357-v:40.000)-(t:0.360-v:38.000)-(t:0.363-v:37.000)-(t:0.366-v:36.000)-(t:0.374-v:35.000)-(t:0.377-v:34.000)-(t:0.379-v:33.000)-(t:0.382-v:32.000)-(t:0.384-v:31.000)-(t:0.386-v:29.000)-(t:0.390-v:28.000)-(t:0.391-v:27.000)-(t:0.393-v:25.000)-(t:0.396-v:24.000)-(t:0.398-v:23.000)-(t:0.400-v:22.000)-(t:0.402-v:21.000)-(t:0.404-v:20.000)-(t:0.407-v:19.000)-(t:0.409-v:18.000)-(t:0.411-v:17.000)-(t:0.413-v:16.000)-(t:0.416-v:15.000)-(t:0.418-v:14.000)-(t:0.433-v:13.000)-(t:0.437-v:12.000)-(t:0.443-v:11.000)-(t:0.446-v:10.000)-(t:0.489-v:9.000)-(t:0.492-v:8.000)-(t:0.558-v:7.000)-(t:0.572-v:6.000)-(t:0.576-v:5.000)-(t:1.095-v:4.000)-(t:4.246-v:3.000)],3.0,5.0
examples/csp/csp_100/6-76.txt,dqn,r1,5,0,[(t:0.243-v:90.000)-(t:0.248-v:87.000)-(t:0.252-v:84.000)-(t:0.255-v:83.000)-(t:0.261-v:82.000)-(t:0.263-v:81.000)-(t:0.265-v:80.000)-(t:0.266-v:78.000)-(t:0.268-v:77.000)-(t:0.269-v:76.000)-(t:0.271-v:75.000)-(t:0.272-v:74.000)-(t:0.273-v:71.000)-(t:0.274-v:70.000)-(t:0.275-v:69.000)-(t:0.276-v:66.000)-(t:0.278-v:65.000)-(t:0.280-v:64.000)-(t:0.281-v:63.000)-(t:0.282-v:62.000)-(t:0.284-v:61.000)-(t:0.287-v:60.000)-(t:0.288-v:59.000)-(t:0.290-v:57.000)-(t:0.291-v:56.000)-(t:0.294-v:55.000)-(t:0.296-v:54.000)-(t:0.298-v:53.000)-(t:0.300-v:52.000)-(t:0.301-v:51.000)-(t:0.303-v:50.000)-(t:0.304-v:49.000)-(t:0.306-v:48.000)-(t:0.308-v:47.000)-(t:0.311-v:46.000)-(t:0.312-v:44.000)-(t:0.315-v:43.000)-(t:0.317-v:42.000)-(t:0.318-v:41.000)-(t:0.320-v:39.000)-(t:0.322-v:38.000)-(t:0.325-v:37.000)-(t:0.327-v:36.000)-(t:0.329-v:35.000)-(t:0.330-v:34.000)-(t:0.332-v:33.000)-(t:0.335-v:32.000)-(t:0.339-v:31.000)-(t:0.342-v:30.000)-(t:0.347-v:29.000)-(t:0.350-v:28.000)-(t:0.352-v:27.000)-(t:0.356-v:26.000)-(t:0.358-v:25.000)-(t:0.361-v:24.000)-(t:0.363-v:23.000)-(t:0.365-v:22.000)-(t:0.367-v:21.000)-(t:0.370-v:20.000)-(t:0.372-v:19.000)-(t:0.374-v:18.000)-(t:0.396-v:17.000)-(t:0.452-v:16.000)-(t:0.464-v:15.000)-(t:0.489-v:14.000)-(t:0.492-v:13.000)-(t:0.501-v:12.000)-(t:0.506-v:11.000)-(t:0.512-v:10.000)-(t:0.526-v:9.000)-(t:0.721-v:8.000)-(t:0.762-v:7.000)-(t:0.772-v:6.000)],6.0,0.522
examples/csp/csp_100/carseq_100_8_20_62.txt,dqn,r1,5,0,[(t:0.219-v:115.000)-(t:0.223-v:110.000)-(t:0.227-v:105.000)-(t:0.228-v:104.000)-(t:0.234-v:103.000)-(t:0.236-v:102.000)-(t:0.237-v:101.000)-(t:0.239-v:100.000)-(t:0.240-v:98.000)-(t:0.242-v:96.000)-(t:0.243-v:94.000)-(t:0.244-v:93.000)-(t:0.245-v:92.000)-(t:0.247-v:90.000)-(t:0.248-v:88.000)-(t:0.249-v:85.000)-(t:0.250-v:84.000)-(t:0.251-v:82.000)-(t:0.253-v:80.000)-(t:0.254-v:79.000)-(t:0.256-v:78.000)-(t:0.261-v:76.000)-(t:0.263-v:75.000)-(t:0.265-v:74.000)-(t:0.267-v:70.000)-(t:0.268-v:69.000)-(t:0.269-v:68.000)-(t:0.271-v:67.000)-(t:0.272-v:66.000)-(t:0.274-v:65.000)-(t:0.275-v:63.000)-(t:0.277-v:61.000)-(t:0.279-v:60.000)-(t:0.287-v:59.000)-(t:0.288-v:58.000)-(t:0.290-v:57.000)-(t:0.292-v:55.000)-(t:0.294-v:54.000)-(t:0.295-v:53.000)-(t:0.299-v:52.000)-(t:0.304-v:51.000)-(t:0.306-v:50.000)-(t:0.310-v:49.000)-(t:0.314-v:48.000)-(t:0.318-v:47.000)-(t:0.321-v:46.000)-(t:0.327-v:45.000)-(t:0.335-v:44.000)-(t:0.343-v:43.000)-(t:0.355-v:42.000)-(t:0.357-v:41.000)-(t:0.359-v:39.000)-(t:0.360-v:38.000)-(t:0.365-v:37.000)-(t:0.370-v:36.000)-(t:0.375-v:35.000)-(t:0.380-v:34.000)-(t:0.385-v:33.000)-(t:0.389-v:32.000)-(t:0.392-v:31.000)-(t:0.395-v:30.000)-(t:0.402-v:29.000)-(t:0.411-v:28.000)-(t:0.439-v:27.000)-(t:0.442-v:26.000)-(t:0.445-v:25.000)-(t:0.477-v:24.000)-(t:0.516-v:23.000)-(t:0.519-v:22.000)-(t:0.521-v:21.000)-(t:0.523-v:20.000)-(t:0.528-v:19.000)-(t:0.531-v:18.000)-(t:0.536-v:17.000)-(t:0.542-v:16.000)-(t:0.546-v:14.000)-(t:0.548-v:13.000)-(t:0.552-v:12.000)-(t:0.638-v:11.000)-(t:0.660-v:10.000)-(t:0.667-v:9.000)-(t:0.689-v:8.000)-(t:0.815-v:7.000)-(t:0.817-v:6.000)-(t:0.823-v:5.000)-(t:1.210-v:4.000)-(t:1.406-v:3.000)-(t:2.082-v:2.000)-(t:2.218-v:1.000)],1.0,5.0
examples/csp/csp_100/carseq_100_8_20_64.txt,dqn,r1,5,0,[(t:0.259-v:110.000)-(t:0.269-v:107.000)-(t:0.274-v:105.000)-(t:0.279-v:104.000)-(t:0.281-v:103.000)-(t:0.286-v:102.000)-(t:0.289-v:101.000)-(t:0.292-v:100.000)-(t:0.295-v:99.000)-(t:0.298-v:97.000)-(t:0.300-v:96.000)-(t:0.302-v:92.000)-(t:0.304-v:90.000)-(t:0.307-v:89.000)-(t:0.310-v:87.000)-(t:0.312-v:86.000)-(t:0.314-v:85.000)-(t:0.316-v:83.000)-(t:0.318-v:82.000)-(t:0.320-v:79.000)-(t:0.321-v:78.000)-(t:0.326-v:75.000)-(t:0.328-v:73.000)-(t:0.330-v:71.000)-(t:0.331-v:70.000)-(t:0.333-v:69.000)-(t:0.335-v:68.000)-(t:0.337-v:66.000)-(t:0.340-v:65.000)-(t:0.341-v:64.000)-(t:0.343-v:63.000)-(t:0.345-v:62.000)-(t:0.346-v:61.000)-(t:0.348-v:60.000)-(t:0.350-v:59.000)-(t:0.351-v:58.000)-(t:0.352-v:57.000)-(t:0.354-v:55.000)-(t:0.355-v:54.000)-(t:0.356-v:53.000)-(t:0.358-v:52.000)-(t:0.359-v:51.000)-(t:0.360-v:50.000)-(t:0.362-v:49.000)-(t:0.363-v:48.000)-(t:0.365-v:47.000)-(t:0.366-v:45.000)-(t:0.369-v:44.000)-(t:0.371-v:43.000)-(t:0.374-v:42.000)-(t:0.377-v:41.000)-(t:0.379-v:40.000)-(t:0.383-v:39.000)-(t:0.385-v:38.000)-(t:0.387-v:37.000)-(t:0.388-v:35.000)-(t:0.389-v:34.000)-(t:0.392-v:33.000)-(t:0.393-v:32.000)-(t:0.395-v:30.000)-(t:0.397-v:29.000)-(t:0.399-v:28.000)-(t:0.402-v:27.000)-(t:0.405-v:26.000)-(t:0.406-v:25.000)-(t:0.411-v:24.000)-(t:0.413-v:23.000)-(t:0.416-v:22.000)-(t:0.419-v:21.000)-(t:0.425-v:20.000)-(t:0.433-v:19.000)-(t:0.436-v:18.000)-(t:0.439-v:17.000)-(t:0.446-v:16.000)-(t:0.450-v:15.000)-(t:0.456-v:14.000)-(t:0.460-v:13.000)-(t:0.467-v:12.000)-(t:0.484-v:11.000)-(t:0.490-v:10.000)-(t:0.540-v:9.000)-(t:0.585-v:8.000)-(t:0.713-v:7.000)-(t:0.714-v:6.000)-(t:0.716-v:5.000)-(t:0.719-v:4.000)-(t:0.734-v:3.000)-(t:1.599-v:2.000)-(t:2.084-v:1.000)],1.0,5.0
