instance,bandit,timeout,unroutedNodes,nVehicles,travelLength,objective
bench/LC1_6_4.txt,epsilonGreedy,300,0,63,20307.97,83307970
bench/LC1_6_1.txt,epsilonGreedy,300,0,68,16067.162,84067162
bench/LC1_6_3.txt,epsilonGreedy,300,0,68,18330.059,86330059
bench/LC1_6_2.txt,epsilonGreedy,300,0,80,20167.517,100167517
bench/LC1_2_2.txt,epsilonGreedy,300,0,20,2947.114,22947114
bench/LC1_6_5.txt,epsilonGreedy,300,0,69,17615.778,86615778
bench/LC1_2_5.txt,epsilonGreedy,300,214,0,0.0,214000000000
bench/LC1_2_3.txt,epsilonGreedy,300,0,20,3420.861,23420861
bench/LC1_4_2.txt,epsilonGreedy,300,422,0,0.0,422000000000
bench/LC1_2_1.txt,epsilonGreedy,300,0,21,2798.462,23798462
bench/LC1_4_3.txt,epsilonGreedy,300,420,0,0.0,420000000000
bench/LC1_4_5.txt,epsilonGreedy,300,422,0,0.0,422000000000
bench/LC1_2_4.txt,epsilonGreedy,300,0,19,3189.942,22189942
bench/LC1_4_1.txt,epsilonGreedy,300,0,43,7672.648,50672648
bench/LC1_4_4.txt,epsilonGreedy,300,0,37,10513.202,47513202
bench/lc101.txt,epsilonGreedy,300,0,10,828.96,10828960
bench/lc105.txt,epsilonGreedy,300,106,0,0.0,106000000000
bench/lc102.txt,epsilonGreedy,300,0,10,828.96,10828960
bench/lc103.txt,epsilonGreedy,300,0,10,836.704,10836704
bench/lc104.txt,epsilonGreedy,300,0,10,819.908,10819908
bench/LC1_6_1.txt,bestSlopeFirst,300,0,73,17302.705,90302705
bench/LC1_6_2.txt,bestSlopeFirst,300,0,70,17554.376,87554376
bench/LC1_6_3.txt,bestSlopeFirst,300,0,67,20577.67,87577670
bench/LC1_6_4.txt,bestSlopeFirst,300,0,61,20709.566,81709566
bench/LC1_6_5.txt,bestSlopeFirst,300,0,72,17574.672,89574672
bench/LC1_2_1.txt,bestSlopeFirst,300,0,22,2886.514,24886514
bench/LC1_2_2.txt,bestSlopeFirst,300,0,22,3211.406,25211406
bench/LC1_2_3.txt,bestSlopeFirst,300,0,20,3077.409,23077409
bench/LC1_2_4.txt,bestSlopeFirst,300,0,18,3750.373,21750373
bench/LC1_2_5.txt,bestSlopeFirst,300,0,21,2836.304,23836304
bench/LC1_4_1.txt,bestSlopeFirst,300,0,47,8220.51,55220510
bench/LC1_4_2.txt,bestSlopeFirst,300,0,44,8588.707,52588707
bench/LC1_4_3.txt,bestSlopeFirst,300,0,43,9494.246,52494246
bench/LC1_4_4.txt,bestSlopeFirst,300,0,38,9128.219,47128219
bench/LC1_4_5.txt,bestSlopeFirst,300,0,47,8449.304,55449304
bench/lc102.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/lc101.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/lc104.txt,bestSlopeFirst,300,0,10,819.908,10819908
bench/lc103.txt,bestSlopeFirst,300,0,10,837.237,10837237
bench/lc105.txt,bestSlopeFirst,300,0,10,828.96,10828960
bench/LC1_6_1.txt,bandit,300,0,73,17842.267,90842267
bench/LC1_6_2.txt,bandit,300,0,75,18776.281,93776281
bench/LC1_6_3.txt,bandit,300,0,67,20379.53,87379530
bench/LC1_6_4.txt,bandit,300,0,74,25427.782,99427782
bench/LC1_6_5.txt,bandit,300,0,78,19494.139,97494139
bench/LC1_2_1.txt,bandit,300,0,22,2830.039,24830039
bench/LC1_2_2.txt,bandit,300,0,21,3386.089,24386089
bench/LC1_2_4.txt,bandit,300,0,19,3526.505,22526505
bench/LC1_2_3.txt,bandit,300,0,20,3183.215,23183215
bench/LC1_4_1.txt,bandit,300,0,45,7923.72,52923720
bench/LC1_2_5.txt,bandit,300,0,22,2914.951,24914951
bench/LC1_4_2.txt,bandit,300,0,46,9328.422,55328422
bench/LC1_4_3.txt,bandit,300,0,45,9838.574,54838574
bench/LC1_4_4.txt,bandit,300,0,39,10227.168,49227168
bench/LC1_4_5.txt,bandit,300,0,46,8776.732,54776732
bench/lc101.txt,bandit,300,0,10,828.96,10828960
bench/lc102.txt,bandit,300,0,10,828.96,10828960
bench/lc104.txt,bandit,300,0,10,819.908,10819908
bench/lc103.txt,bandit,300,0,10,837.437,10837437
bench/lc105.txt,bandit,300,0,10,828.96,10828960
bench/LC1_6_1.txt,random,300,0,74,18485.494,92485494
bench/LC1_6_2.txt,random,300,0,74,18661.759,92661759
bench/LC1_6_3.txt,random,300,0,71,21397.766,92397766
bench/LC1_6_4.txt,random,300,0,66,22370.575,88370575
bench/LC1_6_5.txt,random,300,0,74,18827.453,92827453
bench/LC1_2_1.txt,random,300,0,21,2794.096,23794096
bench/LC1_2_2.txt,random,300,0,22,3374.381,25374381
bench/LC1_2_3.txt,random,300,0,20,3087.383,23087383
bench/LC1_2_4.txt,random,300,0,19,3441.692,22441692
bench/LC1_2_5.txt,random,300,0,22,3038.524,25038524
bench/LC1_4_1.txt,random,300,0,45,8092.511,53092511
bench/LC1_4_2.txt,random,300,0,49,10170.228,59170228
bench/LC1_4_3.txt,random,300,0,45,10408.345,55408345
bench/LC1_4_4.txt,random,300,0,39,9103.697,48103697
bench/LC1_4_5.txt,random,300,0,47,8433.446,55433446
bench/lc101.txt,random,300,0,10,828.96,10828960
bench/lc102.txt,random,300,0,10,828.96,10828960
bench/lc103.txt,random,300,0,10,845.512,10845512
bench/lc104.txt,random,300,0,10,823.52,10823520
bench/lc105.txt,random,300,0,10,828.96,10828960
bench/LC1_6_1.txt,banditrollingaverage,300,0,72,17085.666,89085666
bench/LC1_6_2.txt,banditrollingaverage,300,0,77,20866.512,97866512
bench/LC1_6_3.txt,banditrollingaverage,300,0,71,20440.673,91440673
bench/LC1_6_4.txt,banditrollingaverage,300,0,74,25577.941,99577941
bench/LC1_6_5.txt,banditrollingaverage,300,0,75,17614.73,92614730
bench/LC1_2_1.txt,banditrollingaverage,300,0,21,2794.096,23794096
bench/LC1_2_2.txt,banditrollingaverage,300,0,22,3206.832,25206832
bench/LC1_2_4.txt,banditrollingaverage,300,0,19,3721.753,22721753
bench/LC1_2_3.txt,banditrollingaverage,300,0,19,2976.795,21976795
bench/LC1_2_5.txt,banditrollingaverage,300,0,21,2738.518,23738518
bench/LC1_4_1.txt,banditrollingaverage,300,0,45,8118.8,53118800
bench/LC1_4_2.txt,banditrollingaverage,300,0,47,10187.484,57187484
bench/LC1_4_3.txt,banditrollingaverage,300,0,45,9991.257,54991257
bench/LC1_4_4.txt,banditrollingaverage,300,0,39,9849.698,48849698
bench/LC1_4_5.txt,banditrollingaverage,300,0,47,8506.556,55506556
bench/lc101.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/lc102.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/lc103.txt,banditrollingaverage,300,0,10,828.089,10828089
bench/lc104.txt,banditrollingaverage,300,0,10,819.908,10819908
bench/lc105.txt,banditrollingaverage,300,0,10,828.96,10828960
bench/LC1_6_1.txt,banditaftermove,300,0,71,16862.303,87862303
bench/LC1_6_2.txt,banditaftermove,300,0,72,18931.375,90931375
bench/LC1_6_3.txt,banditaftermove,300,0,72,19347.297,91347297
bench/LC1_6_4.txt,banditaftermove,300,0,68,20147.227,88147227
bench/LC1_6_5.txt,banditaftermove,300,0,73,18469.155,91469155
bench/LC1_2_1.txt,banditaftermove,300,0,22,3064.256,25064256
bench/LC1_2_2.txt,banditaftermove,300,0,22,3253.47,25253470
bench/LC1_2_4.txt,banditaftermove,300,0,19,3242.803,22242803
bench/LC1_2_3.txt,banditaftermove,300,0,20,3182.239,23182239
bench/LC1_2_5.txt,banditaftermove,300,0,21,2884.026,23884026
bench/LC1_4_1.txt,banditaftermove,300,0,45,8142.466,53142466
bench/LC1_4_2.txt,banditaftermove,300,0,48,9093.794,57093794
bench/LC1_4_3.txt,banditaftermove,300,0,43,9500.201,52500201
bench/LC1_4_4.txt,banditaftermove,300,0,39,9265.688,48265688
bench/LC1_4_5.txt,banditaftermove,300,0,45,8107.965,53107965
bench/lc101.txt,banditaftermove,300,0,10,828.96,10828960
bench/lc102.txt,banditaftermove,300,0,10,828.96,10828960
bench/lc104.txt,banditaftermove,300,0,9,1079.213,10079213
bench/lc103.txt,banditaftermove,300,0,10,828.089,10828089
bench/lc105.txt,banditaftermove,300,0,10,828.96,10828960
bench/LC1_6_1.txt,ucb1,300,0,126,31899.791,157899791
bench/LC1_6_2.txt,ucb1,300,162,66,23875.002,162089875002
bench/LC1_6_3.txt,ucb1,300,224,39,13401.745,224052401745
bench/LC1_6_4.txt,ucb1,300,0,70,20743.746,90743746
bench/LC1_6_5.txt,ucb1,300,0,75,19145.631,94145631
bench/LC1_2_1.txt,ucb1,300,0,21,2877.826,23877826
bench/LC1_2_3.txt,ucb1,300,0,21,3379.902,24379902
bench/LC1_2_2.txt,ucb1,300,0,22,3225.023,25225023
bench/LC1_2_4.txt,ucb1,300,0,20,3329.773,23329773
bench/LC1_2_5.txt,ucb1,300,0,23,3158.877,26158877
bench/LC1_4_1.txt,ucb1,300,0,45,8047.415,53047415
bench/LC1_4_2.txt,ucb1,300,0,49,9634.525,58634525
bench/LC1_4_3.txt,ucb1,300,0,45,10599.842,55599842
bench/LC1_4_4.txt,ucb1,300,0,38,11410.008,49410008
bench/LC1_4_5.txt,ucb1,300,0,49,9191.225,58191225
bench/lc102.txt,ucb1,300,0,10,828.96,10828960
bench/lc101.txt,ucb1,300,0,10,828.96,10828960
bench/lc104.txt,ucb1,300,0,10,824.802,10824802
bench/lc103.txt,ucb1,300,0,10,828.089,10828089
bench/LC1_6_3.txt,epsilonGreedy,300,628,0,0.0,628000000000
bench/lc105.txt,ucb1,300,0,10,828.96,10828960
bench/LC1_6_1.txt,epsilonGreedy,300,0,70,17021.553,87021553
bench/LC1_6_2.txt,epsilonGreedy,300,0,69,17496.316,86496316
bench/LC1_6_4.txt,epsilonGreedy,300,0,60,19254.098,79254098
bench/LC1_6_5.txt,epsilonGreedy,300,0,73,19541.087,92541087
bench/LC1_2_1.txt,epsilonGreedy,300,0,21,2865.236,23865236
bench/LC1_2_5.txt,epsilonGreedy,300,214,0,0.0,214000000000
bench/LC1_2_2.txt,epsilonGreedy,300,0,21,2897.872,23897872
bench/LC1_2_3.txt,epsilonGreedy,300,0,20,3044.371,23044371
bench/LC1_2_4.txt,epsilonGreedy,300,0,18,2981.882,20981882
bench/LC1_4_4.txt,epsilonGreedy,300,416,0,0.0,416000000000
bench/LC1_4_1.txt,epsilonGreedy,300,0,44,7741.967,51741967
